X(mm)	Y(mm)	Z(mm)	Rx(rad)	Ry(rad)	Rz(rad)	Distance(mm)
115.972	-361.015	202.013	2.34	2.00	-0.22	-38.0
115.991	-361.010	201.993	2.34	2.00	-0.22	-39.0
115.976	-361.017	202.007	2.34	2.00	-0.22	-39.0
115.971	-361.011	201.990	2.34	2.00	-0.22	-38.0
115.982	-361.012	201.996	2.34	2.00	-0.22	-39.0
115.963	-360.988	202.018	2.34	2.00	-0.22	-39.0
115.968	-360.294	202.029	2.34	2.00	-0.22	-39.0
115.927	-358.244	201.965	2.34	2.00	-0.22	-39.0
115.964	-355.283	201.987	2.34	2.00	-0.22	-40.0
115.942	-350.870	202.071	2.34	2.00	-0.22	-39.0
115.968	-346.726	201.952	2.34	2.00	-0.22	-40.0
115.937	-343.765	202.039	2.34	2.00	-0.22	-39.0
115.965	-341.731	202.030	2.34	2.00	-0.22	-39.0
115.984	-340.985	201.981	2.34	2.00	-0.22	-39.0
115.988	-341.375	201.990	2.34	2.00	-0.22	-39.0
116.008	-342.924	202.064	2.34	2.00	-0.22	-39.0
116.020	-345.767	202.011	2.34	2.00	-0.22	-39.0
116.018	-348.611	202.076	2.34	2.00	-0.22	-39.0
116.035	-350.426	202.004	2.34	2.00	-0.22	-39.0
115.993	-351.008	201.977	2.34	2.00	-0.22	-39.0
116.029	-351.532	201.939	2.34	2.00	-0.22	-39.0
116.020	-353.237	201.999	2.34	2.00	-0.22	-39.0
116.022	-356.219	202.038	2.34	2.00	-0.22	-39.0
116.003	-358.941	202.070	2.34	2.00	-0.22	-39.0
116.008	-360.614	202.012	2.34	2.00	-0.22	-39.0
115.995	-361.024	201.988	2.34	2.00	-0.22	-39.0
115.983	-361.024	202.003	2.34	2.00	-0.22	-39.0
115.991	-361.018	202.014	2.34	2.00	-0.22	-39.0
115.988	-361.019	202.016	2.34	2.00	-0.22	-39.0
115.995	-361.014	202.000	2.34	2.00	-0.22	-39.0
115.980	-361.013	201.993	2.34	2.00	-0.22	-39.0
115.984	-361.005	201.978	2.34	2.00	-0.22	-39.0
115.995	-361.000	201.986	2.34	2.00	-0.22	-39.0
115.995	-360.998	201.978	2.34	2.00	-0.22	-39.0
115.981	-361.001	201.991	2.34	2.00	-0.22	-39.0
115.992	-360.998	201.970	2.34	2.00	-0.22	-39.0
115.984	-361.006	201.993	2.34	2.00	-0.22	-39.0
115.993	-360.998	201.988	2.34	2.00	-0.22	-39.0
115.982	-361.003	201.983	2.34	2.00	-0.22	-39.0
116.000	-361.000	201.993	2.34	2.00	-0.22	-39.0
115.993	-361.006	201.992	2.34	2.00	-0.22	-39.0
116.000	-360.999	201.985	2.34	2.00	-0.22	-39.0
115.991	-361.008	201.996	2.34	2.00	-0.22	-39.0
115.992	-361.003	201.998	2.34	2.00	-0.22	-39.0
115.994	-361.000	201.986	2.34	2.00	-0.22	-39.0
115.971	-361.009	201.989	2.34	2.00	-0.22	-39.0
115.991	-361.003	201.982	2.34	2.00	-0.22	-39.0
115.988	-361.006	201.984	2.34	2.00	-0.22	-39.0
115.986	-361.000	201.981	2.34	2.00	-0.22	-39.0
115.990	-360.999	201.988	2.34	2.00	-0.22	-39.0
115.993	-361.006	201.992	2.34	2.00	-0.22	-39.0
115.996	-361.005	201.998	2.34	2.00	-0.22	-39.0
115.996	-361.008	201.987	2.34	2.00	-0.22	-39.0
115.999	-361.003	201.991	2.34	2.00	-0.22	-39.0
115.985	-360.999	201.980	2.34	2.00	-0.22	-39.0
115.997	-360.995	201.982	2.34	2.00	-0.22	-39.0
115.992	-361.003	201.996	2.34	2.00	-0.22	-39.0
115.987	-361.010	202.012	2.34	2.00	-0.22	-39.0
115.992	-361.000	201.989	2.34	2.00	-0.22	-39.0
115.996	-361.004	201.992	2.34	2.00	-0.22	-39.0
115.990	-361.003	201.993	2.34	2.00	-0.22	-39.0
115.996	-360.999	201.993	2.34	2.00	-0.22	-39.0
115.992	-361.011	202.016	2.34	2.00	-0.22	-39.0
115.993	-361.005	201.995	2.34	2.00	-0.22	-39.0
115.995	-361.000	201.986	2.34	2.00	-0.22	-39.0
115.992	-361.001	201.984	2.34	2.00	-0.22	-39.0
115.980	-361.003	201.982	2.34	2.00	-0.22	-39.0
115.982	-361.007	201.994	2.34	2.00	-0.22	-39.0
115.973	-361.010	201.994	2.34	2.00	-0.22	-39.0
115.989	-361.006	201.986	2.34	2.00	-0.22	-39.0
115.996	-361.000	201.985	2.34	2.00	-0.22	-39.0
115.992	-361.002	201.975	2.34	2.00	-0.22	-39.0
115.996	-361.007	201.997	2.34	2.00	-0.22	-39.0
115.989	-361.007	201.994	2.34	2.00	-0.22	-39.0
115.988	-360.998	201.985	2.34	2.00	-0.22	-38.0
115.987	-361.010	201.997	2.34	2.00	-0.22	-39.0
115.991	-361.002	201.986	2.34	2.00	-0.22	-39.0
115.984	-361.009	202.003	2.34	2.00	-0.22	-39.0
116.001	-360.995	201.980	2.34	2.00	-0.22	-39.0
115.997	-361.001	201.981	2.34	2.00	-0.22	-39.0
115.989	-361.001	201.990	2.34	2.00	-0.22	-39.0
115.978	-361.003	201.992	2.34	2.00	-0.22	-39.0
115.983	-361.007	201.994	2.34	2.00	-0.22	-39.0
115.990	-361.003	201.982	2.34	2.00	-0.22	-39.0
115.993	-361.001	201.990	2.34	2.00	-0.22	-39.0
115.979	-361.011	202.004	2.34	2.00	-0.22	-39.0

