X(m) Y(m) Z(m)
181.367829 -262.258795 164.322486
181.366829 -262.264795 164.318486
181.378829 -262.261795 164.326486
181.373829 -262.260795 164.326486
181.377829 -262.261795 164.324486
181.369829 -262.263795 164.314486
181.376829 -262.258795 164.321486
181.374829 -262.257795 164.317486
181.370829 -262.258795 164.308486
181.387829 -262.261795 164.329486
181.371829 -262.269795 164.333486
181.378829 -262.257795 164.319486
181.386829 -262.262795 164.315486
181.370829 -262.262795 164.314486
181.368829 -262.260795 164.319486
181.379829 -262.262795 164.322486
181.366829 -262.264795 164.326486
181.369829 -262.267795 164.342486
181.356829 -262.264795 164.313486
181.363829 -262.263795 164.311486
181.371829 -262.260795 164.325486
